depth,move number,Prunings,Winner,Which Heur,Who First
5,5,2979,--,old,RB
5,6,2274,--,old,RB
5,7,471,--,old,RB
5,8,365,--,old,RB
5,9,33,--,old,RB
5,10,63,--,old,RB
5,11,12,--,old,RB
5,0,0,O,old,RB
5,1,2945,--,old,RB
5,2,4960,--,old,RB
5,3,7280,--,old,RB
5,4,4587,--,old,RB
5,5,3248,--,old,RB
5,6,2108,--,old,RB
5,7,1512,--,old,RB
5,8,779,--,old,RB
5,0,0,O,old,RB
5,1,2957,--,old,RB
5,2,5981,--,old,RB
5,3,7341,--,old,RB
5,4,5205,--,old,RB
5,5,773,--,old,RB
5,6,415,--,old,RB
5,7,1239,--,old,RB
5,8,70,--,old,RB
5,0,0,,old,RB
5,1,5964,--,old,RB
5,2,6382,--,old,RB
5,3,7041,--,old,RB
5,4,727,--,old,RB
5,5,3444,--,old,RB
5,6,782,--,old,RB
5,7,1358,--,old,RB
5,8,697,--,old,RB
5,0,0,O,old,RB
5,1,0,--,old,MMB
5,2,5599,--,old,MMB
5,3,7999,--,old,MMB
5,4,6134,--,old,MMB
5,5,3938,--,old,MMB
5,6,2603,--,old,MMB
5,7,1628,--,old,MMB
5,8,929,--,old,MMB
5,9,409,--,old,MMB
5,10,6,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,4701,--,old,MMB
5,3,8355,--,old,MMB
5,4,4015,--,old,MMB
5,5,3458,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,2959,--,old,MMB
5,3,8208,--,old,MMB
5,4,3261,--,old,MMB
5,5,4105,--,old,MMB
5,6,1278,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,2119,--,old,MMB
5,3,8295,--,old,MMB
5,4,5683,--,old,MMB
5,5,1438,--,old,MMB
5,6,1310,--,old,MMB
5,7,1882,--,old,MMB
5,8,201,--,old,MMB
5,9,279,--,old,MMB
5,10,201,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,4884,--,old,MMB
5,3,8471,--,old,MMB
5,4,5498,--,old,MMB
5,5,3871,--,old,MMB
5,6,2305,--,old,MMB
5,7,1353,--,old,MMB
5,8,974,--,old,MMB
5,9,447,--,old,MMB
5,0,0,X,old,MMB
5,1,0,--,old,MMB
5,2,4701,--,old,MMB
5,3,8006,--,old,MMB
5,4,829,--,old,MMB
5,5,1881,--,old,MMB
5,6,1276,--,old,MMB
5,7,862,--,old,MMB
5,8,0,--,old,MMB
5,9,0,--,old,MMB
5,10,0,--,old,MMB
5,0,0,,old,MMB
5,1,0,--,old,MMB
5,2,4697,--,old,MMB
5,3,8424,--,old,MMB
5,4,1469,--,old,MMB
5,5,3249,--,old,MMB
